pop	subspecies	julian_date	indiv	sexM1F2	weight	total_length 	tail_length
CBAR	zuniensis	217	CBAR13	2	480	32	7
CBAR	zuniensis	219	CBAR17	2	470	32.5	6.5
CBAR	zuniensis	219	CBAR19	2	490	32	6.5
CBAR	zuniensis	219	CBAR21	2	480	34.5	6.5
CBAR	zuniensis	219	CBAR23	2	500	32.5	6.5
CBAR	zuniensis	219	CBAR24	2	440	32.5	7
CRL	zuniensis	173	CRL03	2	455	30.9	7.2
CRL	zuniensis	173	CRL04	2	445	30.5	6.7
CRL	zuniensis	173	CRL05	2	435	30.1	6.9
CRL	zuniensis	175	CRL09	2	710	36	8.1
CRL	zuniensis	175	CRL10	2	405	32.3	7.8
CRL	zuniensis	175	CRL11	2	455	29.7	7.2
CRL	zuniensis	176	CRL15	2	460	31.4	7.1
CRL	zuniensis	176	CRL16	2	410	31.3	7.5
CRL	zuniensis	177	CRL19	2	420	30	7.1
CRL	zuniensis	177	CRL20	2	470	30.8	6.7
CRL	zuniensis	177	CRL21	2	785	37	7.6
CRL	zuniensis	178	CRL24	2	215	23.2	4.6
CT2CC	zuniensis	246	CT2CC-01	2	855	34	8.5
CT2CC	zuniensis	246	CT2CC-13	2	855	34.5	
CT2CC	zuniensis	246	CT2CC-14	2	760	35	
CT2CC	zuniensis	246	CT2CC-15	2	685	32.5	
CT2CC	zuniensis	246	CT2CC-16	2	785	34	
CT2CC	zuniensis	246	CT2CC-17	2	630	32	
CT2CC	zuniensis	246	CT2CC-20	2	675	31	
CT2CC	zuniensis	246	CT2CC-21	2	800	34	
CT2CC	zuniensis	246	CT2CC-22	2	695	32	
CT2CC	zuniensis	246	CT2CC-23	2	575	31	
CT2CC	zuniensis	246	CT2CC-32	2	580	31.5	
CT2CC	zuniensis	246	CT2CC-33	2	725	32	
CT2CC	zuniensis	246	CT2CC-34	2	525	30.5	
DCB	zuniensis	161	DCB02	2	380	29	5.5
DCB	zuniensis	161	DCB08	2	760	34	7
DCB	zuniensis	162	DCB11	2	180	22	4
DCB	zuniensis	162	DCB12	2	370	33	6
DCB	zuniensis	162	DCB13	2	340	27.5	5.5
DCB	zuniensis	162	DCB14	2	350	28	5.5
DCB	zuniensis	162	DCB15	2	180	22	3.5
DCB	zuniensis	162	DCB16	2	340	28	5
DCB	zuniensis	162	DCB17	2	320	27	5.5
DCB	zuniensis	163	DCB20	2	275	27.9	6.4
DCB	zuniensis	164	DCB22	2	565	32	6
DGO	zuniensis	202	DGO01	2	450	24	6.5
DGO	zuniensis	202	DGO02	2	495	25.5	5.5
DGO	zuniensis	202	DGO04	2	800	28	4
DGO	zuniensis	202	DGO05	2	515	29	6
DGO	zuniensis	202	DGO07	2	1080	31	6.5
DGO	zuniensis	202	DGO08	2	500	27	6
DGO	zuniensis	202	DGO09	2	500	26	5.5
DGO	zuniensis	202	DGO12	2	750	29	6.5
DGO	zuniensis	203	DGO16	2	780	30	6
DGO	zuniensis	203	DGO17	2	410	23.5	6
DUTS	zuniensis	220	DUTS01	2	860	37	7
DUTS	zuniensis	220	DUTS02	2	480	32.5	7
DUTS	zuniensis	220	DUTS05	2	860	35	7
DUTS	zuniensis	220	DUTS06	2	1020	37.5	7
DUTS	zuniensis	220	DUTS07	2	940	36.5	6
DUTS	zuniensis	220	DUTS10	2	590	34	6
DUTS	zuniensis	220	DUTS12	2	850	36.5	7
DUTS	zuniensis	220	DUTS13	2	790	36	7
DUTS	zuniensis	220	DUTS14	2	780	34	7
DUTS	zuniensis	221	DUTS18	2	750	37	6.5
DUTS	zuniensis	221	DUTS20	2	505	32.5	6.5
DUTS	zuniensis	221	DUTS21	2	715	36	7
ELMA	zuniensis	180	ELMA02	2	705	36.3	8.8
ELMA	zuniensis	180	ELMA07	2	625	34.2	8.1
ELMA	zuniensis	180	ELMA08	2	320	28.6	6.4
ELMA	zuniensis	182	ELMA12	2	720	26.5	5.5
ELMA	zuniensis	183	ELMA19	2	610	33.6	6.8
ELMA	zuniensis	184	ELMA21	2	615	35	8.3
ELMA	zuniensis	184	ELMA23	2	605	31	5.3
ESPE	zuniensis	244	ESPE60-28	2	500		
ESPE	zuniensis	244	ESPE61-30	2	850		
ESPE	zuniensis	237	ESPE69-4	2	525		
ESPE	zuniensis	244	ESPE70-22	2	475		
ESPE	zuniensis	241	ESPE72-12	2	575		
ESPE	zuniensis	244	ESPE73-31	2	675		
ESPE	zuniensis	244	ESPE75-32	2	625		
ESPE	zuniensis	244	ESPE76-21	2	500		
ESPE	zuniensis	244	ESPE80-34	2	675		
ESPE	zuniensis	237	ESPE81-5	2	525		
ESPE	zuniensis	241	ESPE85-18	2	600		
ESPE	zuniensis	237	ESPE89-2	2	700		
ESPE	zuniensis	237	ESPE90-7	2	750		
FUEN	zuniensis	201	FUEN02	2	290	25	4.5
FUEN	zuniensis	201	FUEN04	2	550	33	6
FUEN	zuniensis	201	FUEN07	2	520	33	6
FUEN	zuniensis	201	FUEN08	2	300	26	5.5
FUEN	zuniensis	203	FUEN11	2	630	35	7
FUEN	zuniensis	203	FUEN12	2	545	34	8
FUEN	zuniensis	203	FUEN14	2	630	35	6.5
FUEN	zuniensis	203	FUEN15	2	650	35.5	6
FUEN	zuniensis	203	FUEN16	2	410	28.5	5.5
FUEN	zuniensis	203	FUEN17	2	380	28	5.5
FUEN	zuniensis	203	FUEN24	2	660	34.5	7
HLSP	zuniensis	179	HLSP01	2	760	36.5	7
HLSP	zuniensis	179	HLSP02	2	830	37	6.5
HMSW	zuniensis	197	HMSW03	2	814	32.8	4.7
HMSW	zuniensis	198	HMSW05	2	799	33.4	5.6
HMSW	zuniensis	198	HMSW06	2	569	32	5
HMSW	zuniensis	198	HMSW08	2	739	32	4.5
HMSW	zuniensis	199	HMSW10	2	354	28.6	4.9
HMSW	zuniensis	199	HMSW11	2	589	33.5	5.5
HOVE	zuniensis	165	HOVE02	2	638	36.5	7
HOVE	zuniensis	165	HOVE03	2	823	36.2	7.3
HOVE	zuniensis	165	HOVE04	2	735	36.6	7
HOVE	zuniensis	165	HOVE07	2	710	32.3	6.2
HOVE	zuniensis	166	HOVE08	2	370	27.4	6.5
HOVE	zuniensis	168	HOVE12	2	680	35	8.6
HOVE	zuniensis	168	HOVE13	2	420	30.3	6.7
HOVE	zuniensis	168	HOVE14	2	749	33.5	5.9
HOVE	zuniensis	168	HOVE15	2	783	34.4	7
HOVE	zuniensis	169	HOVE16	2	765	37.2	8.4
HUTR	zuniensis	143	HUTR01	2	765	35.5	5.5
HUTR	zuniensis	143	HUTR03	2	835	34.5	4.5
HUTR	zuniensis	143	HUTR06	2	725	33.5	4.5
HUTR	zuniensis	143	HUTR07	2	965	38	6.5
HUTR	zuniensis	144	HUTR09	2	830	37.5	7
HUTR	zuniensis	145	HUTR12	2	955	38	6.5
HUTR	zuniensis	145	HUTR13	2	830	36	7.5
HUTR	zuniensis	145	HUTR14	2	780	35.5	5.5
HUTR	zuniensis	146	HUTR16	2	760	34	5.5
HUTR	zuniensis	146	HUTR17	2	825	38	7
HUTR	zuniensis	146	HUTR18	2	915	37	6
HUTR	zuniensis	147	HUTR19	2	910	35.5	6
HUTR	zuniensis	147	HUTR20	2	870	37.5	7
HUTR	zuniensis	147	HUTR21	2	880	37	7
HUTR	zuniensis	147	HUTR22	2	830	34	7
NFF	zuniensis	187	NFF01	2	450	31.6	6.9
RSF	zuniensis	157	RSF01	2	1040	37.5	8
RSF	zuniensis	162	RSF02	2	660	33.5	6.5
SFNF	zuniensis	165	SFNF03	2	730	35	7
SFNF	zuniensis	165	SFNF04	2	820	37	6.5
SFNF	zuniensis	165	SFNF05	2	710	35.5	7
SFNF	zuniensis	166	SFNF07	2	950	38.5	7
SFNF	zuniensis	168	SFNF08	2	710	35	6.5
SFNF	zuniensis	169	SFNF12	2	730	35	7
SFNF	zuniensis	170	SFNF13	2	730	35	6.5
SFNF	zuniensis	170	SFNF15	2	820	35.5	7.5
SSLM	zuniensis	159	SSLM12	2	710	37.5	6
SSLM	zuniensis	162	SSLM20	2	645	36	7
SSLM	zuniensis	162	SSLM21	2	550	32.5	6.5
SSLM	zuniensis	162	SSLM22	2	630	35.5	7.5
SSLM	zuniensis	162	SSLM23	2	600	33.5	7
SSLM	zuniensis	162	SSLM24	2	540	32	7
SYWS	zuniensis	207	SYWS01	2	535	33	6.5
SYWS	zuniensis	207	SYWS05	2	470	30	6
SYWS	zuniensis	207	SYWS06	2	605	32	5.5
SYWS	zuniensis	207	SYWS07	2	915	37	6
SYWS	zuniensis	207	SYWS09	2	730	34	6.5
SYWS	zuniensis	207	SYWS11	2	460	29	5.5
SYWS	zuniensis	208	SYWS12	2	380	31	6
SYWS	zuniensis	208	SYWS13	2	880	36	7
SYWS	zuniensis	209	SYWS15	2	875	37	7.5
SYWS	zuniensis	210	SYWS18	2	430	32	6
SYWS	zuniensis	215	SYWS19	2	530	32.5	7
SYWS	zuniensis	215	SYWS20	2	450	31	6.5
VADO	zuniensis	179	VADO02	2	610	36	7
VCNP	zuniensis	201	VCNP01	2	400	31.3	6.5
VCNP	zuniensis	201	VCNP02	2	745	36	7.2
VCNP	zuniensis	201	VCNP03	2	415	30.1	6.9
VCNP	zuniensis	201	VCNP04	2	410	30.5	6.7
VCNP	zuniensis	201	VCNP05	2	405	28.5	6.2
VCNP	zuniensis	201	VCNP07	2	475	31.4	7.2
VCNP	zuniensis	201	VCNP10	2	510	33.5	6.9
VCNP	zuniensis	201	VCNP12	2	455	29.9	6.3
VCNP	zuniensis	203	VCNP15	2	420	29.8	6.5
VCNP	zuniensis	203	VCNP17	2	415	30.9	6.6
VCNP	zuniensis	203	VCNP18	2	520	32.2	7.8
VCNP	zuniensis	203	VCNP19	2	470	32.1	8.1
VCNP	zuniensis	203	VCNP20	2	825	37.9	9.5
VCNP	zuniensis	203	VCNP23	2	505	31.9	7.1
WSCM	zuniensis	214	WSCM01	2	520	32.2	7.4
WSCM	zuniensis	214	WSCM03	2	550	33.3	7.6
WSCM	zuniensis	214	WSCM04	2	440	30.7	6.6
WSCM	zuniensis	214	WSCM06	2	525	32.7	7.1
WSCM	zuniensis	214	WSCM11	2	950	36.5	7.6
WSCM	zuniensis	215	WSCM15	2	530	33.9	7.4
WSCM	zuniensis	215	WSCM16	2	515	34.6	7.7
WSCM	zuniensis	215	WSCM18	2	450	31.4	6.9
WSCM	zuniensis	215	WSCM20	2	755	36.4	7.7
WSCM	zuniensis	216	WSCM21	2	810	37.2	7.8
WSCM	zuniensis	216	WSCM22	2	530	31.6	6.4
WSCM	zuniensis	218	WSCM23	2	520	31.6	6
