pop	subspecies	julian_date	indiv	sexM1F2	weight	total_length 	tail_length
BG	gunnisoni	140	BG02	2	805	30.25	6.5
BG	gunnisoni	141	BG04	2	705	34	6
BG	gunnisoni	141	BG08	2	465	31.5	5.5
BG	gunnisoni	142	BG09	2	710	35	5
BLFB	gunnisoni	194	BLFB01	2	770	35.5	7
BLFB	gunnisoni	194	BLFB02	2	470	30.5	6
BLFB	gunnisoni	194	BLFB03	2	430	31	6
BLFB	gunnisoni	194	BLFB06	2	490	32.5	6
BLFB	gunnisoni	196	BLFB19	2	745	33.5	4
BLFB	gunnisoni	196	BLFB21	2	410	30	6
BLFB	gunnisoni	196	BLFB24	2	440	30	5.5
BVSE	gunnisoni	208	BVSE03	2	720		
BVSE	gunnisoni	208	BVSE07	2	865		
BVSE	gunnisoni	208	BVSE09	2	290		
BVSE	gunnisoni	208	BVSE10	2	340		
BVSE	gunnisoni	208	BVSE12	2	430		
BVSE	gunnisoni	209	BVSE18	2	495	26.5	5
BVSE	gunnisoni	209	BVSE19	2	850	29.5	4.5
BVSE	gunnisoni	209	BVSE20	2	840	30	5
BVSE	gunnisoni	209	BVSE22	2	350	23.5	4.75
BVSE	gunnisoni	209	BVSE23	2	425	25.5	5
BVSE	gunnisoni	209	BVSE27	2	500	25	5.5
EMSP	gunnisoni	245	EMSP04	2	540	25	5.5
EMSP	gunnisoni	245	EMSP06	2	550	26.5	6
EMSP	gunnisoni	245	EMSP08	2	580	26	6
EMSP	gunnisoni	245	EMSP10	2	800	29	5.3
EMSP	gunnisoni	245	EMSP11	2	590	25.5	5.5
EMSP	gunnisoni	245	EMSP12	2	700	27.5	5.5
EMSP	gunnisoni	246	EMSP14	2	590	27	6
ENSP	gunnisoni	194	ENSP01	2	780	35.5	7
ENSP	gunnisoni	194	ENSP03	2	630	36	7
ENSP	gunnisoni	194	ENSP05	2	405	29.5	5.5
ENSP	gunnisoni	194	ENSP06	2	395	29	6
ENSP	gunnisoni	194	ENSP07	2	385	30	6
ENSP	gunnisoni	194	ENSP08	2	625	34.5	6
ENSP	gunnisoni	196	ENSP10	2	445	30	6.5
ENSP	gunnisoni	196	ENSP11	2	405	30.5	6.5
ENSP	gunnisoni	196	ENSP12	2	425	30	6.5
ENSP	gunnisoni	196	ENSP13	2	435	31	6
ENSP	gunnisoni	197	ENSP20	2	400	30	5.5
ENSP	gunnisoni	197	ENSP23	2	610	34.5	6.5
ENSP	gunnisoni	197	ENSP25	2	350	27.5	5
ERPD	gunnisoni	148	ERPD01	2	725	33.5	6
ERPD	gunnisoni	148	ERPD02	2	675	41	6
ERPD	gunnisoni	148	ERPD03	2	705	39.5	5
ERPD	gunnisoni	148	ERPD04	2	785	32.5	3.5
ERPD	gunnisoni	148	ERPD05	2	815	37	6.25
ERPD	gunnisoni	148	ERPD06	2	815	35	6
ERPD	gunnisoni	149	ERPD08	2	675	34.5	4.5
ERPD	gunnisoni	149	ERPD09	2	615	32.25	5
ERPD	gunnisoni	149	ERPD10	2	980	40	5.5
ERPD	gunnisoni	149	ERPD11	2	830	38	6.5
ERPD	gunnisoni	149	ERPD12	2	825	36	6.5
ERPD	gunnisoni	149	ERPD13	2	905	35.5	7.5
ERPD	gunnisoni	149	ERPD14	2	785	36	5.5
ERPD	gunnisoni	149	ERPD15	2	685	35.5	6
ERPD	gunnisoni	149	ERPD16	2	795	36.5	6
ERPD	gunnisoni	149	ERPD17	2	865	35.5	7.5
ERPD	gunnisoni	149	ERPD18	2	685	33	7
ERPD	gunnisoni	150	ERPD20	2	705	35.5	7
ERPD	gunnisoni	150	ERPD22	2	770	38	6
ERPD	gunnisoni	150	ERPD27	2	760	35.5	6
ERPD	gunnisoni	170	ERPD29	2	755	35.5	6.5
ERPD	gunnisoni	170	ERPD30	2	685	36	6.5
ERPD	gunnisoni	170	ERPD31	2	700	34	6
ERPD	gunnisoni	170	ERPD34	2	840	38	6
